Country,EdLevel,YearsCodePro,Industry,Salary
United States of America,Bachelor's Degree,22.0,"Manufacturing, Transportation, or Supply Chain",110000.0
Canada,Bachelor's Degree,1.0,Advertising Services,32715.0
United States of America,Bachelor's Degree,5.0,Retail and Consumer Services,145000.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",49655.0
United States of America,Master's Degree,40.0,Insurance,160000.0
United States of America,Bachelor's Degree,18.0,Other,160000.0
United States of America,Bachelor's Degree,19.0,"Information Services, IT, Software Development, or other Technology",250000.0
United Kingdom and Northern Ireland,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",62069.0
United States of America,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",120000.0
Canada,Less than a Bachelor's,10.0,"Information Services, IT, Software Development, or other Technology",74351.0
United States of America,Bachelor's Degree,18.0,Healthcare,145000.0
United States of America,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",100000.0
United States of America,Bachelor's Degree,0.5,"Manufacturing, Transportation, or Supply Chain",52000.0
United States of America,Bachelor's Degree,18.0,Advertising Services,175000.0
Australia,Bachelor's Degree,21.0,Higher Education,82380.0
United States of America,Bachelor's Degree,13.0,Other,140000.0
United States of America,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",183000.0
Brazil,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",37532.0
United States of America,Bachelor's Degree,10.0,Other,147000.0
India,Master's Degree,8.0,"Manufacturing, Transportation, or Supply Chain",44832.0
United States of America,Bachelor's Degree,13.0,"Information Services, IT, Software Development, or other Technology",170000.0
United States of America,Master's Degree,18.0,"Information Services, IT, Software Development, or other Technology",175000.0
Australia,Bachelor's Degree,10.0,Retail and Consumer Services,118987.0
Canada,Master's Degree,5.0,Healthcare,141268.0
United States of America,Less than a Bachelor's,25.0,Financial Services,120000.0
United Kingdom and Northern Ireland,Less than a Bachelor's,10.0,Other,126621.0
United States of America,Master's Degree,5.0,Financial Services,139000.0
United States of America,Bachelor's Degree,4.0,Legal Services,62000.0
United States of America,Less than a Bachelor's,1.0,"Information Services, IT, Software Development, or other Technology",30000.0
United States of America,Bachelor's Degree,11.0,Financial Services,130000.0
Canada,Bachelor's Degree,5.0,Other,63645.0
United States of America,Bachelor's Degree,12.0,Other,160000.0
United States of America,Less than a Bachelor's,17.0,"Manufacturing, Transportation, or Supply Chain",40000.0
Australia,Master's Degree,12.0,"Information Services, IT, Software Development, or other Technology",99156.0
Australia,Master's Degree,5.0,Oil & Gas,112377.0
Brazil,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",47676.0
Australia,Less than a Bachelor's,30.0,"Information Services, IT, Software Development, or other Technology",112377.0
United States of America,Bachelor's Degree,27.0,"Manufacturing, Transportation, or Supply Chain",190000.0
Canada,Bachelor's Degree,26.0,Financial Services,118962.0
United States of America,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",296434.0
Spain,Bachelor's Degree,3.0,Retail and Consumer Services,42836.0
Netherlands,Master's Degree,6.0,Financial Services,74963.0
United States of America,Bachelor's Degree,7.0,Financial Services,201000.0
Canada,Bachelor's Degree,21.0,"Information Services, IT, Software Development, or other Technology",168361.0
United States of America,Master's Degree,3.0,Financial Services,73500.0
India,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",26657.0
United States of America,Less than a Bachelor's,7.0,Healthcare,113000.0
United States of America,Master's Degree,11.0,Financial Services,260000.0
Canada,Master's Degree,26.0,"Information Services, IT, Software Development, or other Technology",107810.0
United States of America,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",180000.0
United States of America,Bachelor's Degree,3.0,Financial Services,140000.0
United States of America,Bachelor's Degree,6.0,Other,170000.0
United States of America,Master's Degree,8.0,Financial Services,180000.0
France,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",47119.0
India,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",46529.0
United States of America,Bachelor's Degree,17.0,Other,274439.0
India,Bachelor's Degree,5.0,Healthcare,27869.0
United States of America,Bachelor's Degree,8.0,Healthcare,185000.0
Canada,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",74351.0
United States of America,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",72000.0
Australia,Bachelor's Degree,9.0,Financial Services,85935.0
United States of America,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",110000.0
India,Master's Degree,12.0,"Information Services, IT, Software Development, or other Technology",33927.0
United States of America,Master's Degree,32.0,"Information Services, IT, Software Development, or other Technology",140000.0
Australia,Bachelor's Degree,11.0,Financial Services,142784.0
United States of America,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",125000.0
United States of America,Bachelor's Degree,5.0,Retail and Consumer Services,105000.0
Canada,Master's Degree,15.0,Healthcare,124910.0
France,Bachelor's Degree,25.0,"Information Services, IT, Software Development, or other Technology",81388.0
Germany,Master's Degree,8.0,Insurance,82054.0
United States of America,Bachelor's Degree,5.0,Financial Services,165000.0
United States of America,Master's Degree,4.0,Other,240000.0
United States of America,Less than a Bachelor's,15.0,"Information Services, IT, Software Development, or other Technology",160000.0
India,Bachelor's Degree,5.0,"Manufacturing, Transportation, or Supply Chain",23022.0
Australia,Bachelor's Degree,17.0,"Manufacturing, Transportation, or Supply Chain",99156.0
United States of America,Bachelor's Degree,3.0,Insurance,105000.0
India,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",121169.0
United States of America,Master's Degree,34.0,Healthcare,250000.0
United States of America,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",200000.0
United States of America,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",178000.0
India,Bachelor's Degree,6.0,Healthcare,24234.0
United States of America,Master's Degree,3.0,Other,100000.0
Germany,Master's Degree,10.0,Higher Education,69608.0
India,Master's Degree,12.0,"Information Services, IT, Software Development, or other Technology",21810.0
United States of America,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",160000.0
United States of America,Bachelor's Degree,2.0,Other,82000.0
Spain,Less than a Bachelor's,20.0,Other,40159.0
Spain,Master's Degree,29.0,Insurance,93168.0
Australia,Less than a Bachelor's,24.0,"Information Services, IT, Software Development, or other Technology",99156.0
Sweden,Bachelor's Degree,13.0,Insurance,65236.0
Canada,Master's Degree,10.0,"Information Services, IT, Software Development, or other Technology",148703.0
Australia,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",62799.0
United Kingdom and Northern Ireland,Less than a Bachelor's,16.0,"Information Services, IT, Software Development, or other Technology",105517.0
India,Bachelor's Degree,8.0,Retail and Consumer Services,84818.0
Australia,Less than a Bachelor's,6.0,Other,79325.0
India,Bachelor's Degree,6.0,Insurance,16964.0
Canada,Master's Degree,13.0,"Information Services, IT, Software Development, or other Technology",182161.0
Brazil,Less than a Bachelor's,6.0,"Information Services, IT, Software Development, or other Technology",73600.0
Sweden,Less than a Bachelor's,22.0,Financial Services,70765.0
Australia,Master's Degree,1.0,"Information Services, IT, Software Development, or other Technology",42968.0
Germany,Master's Degree,4.0,"Manufacturing, Transportation, or Supply Chain",74963.0
Spain,Less than a Bachelor's,5.0,Healthcare,53545.0
India,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",24234.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",42207.0
United States of America,Bachelor's Degree,24.0,"Information Services, IT, Software Development, or other Technology",168000.0
United States of America,Post Grad,13.0,"Information Services, IT, Software Development, or other Technology",300000.0
Italy,Master's Degree,6.0,Financial Services,44978.0
India,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",24234.0
Germany,Master's Degree,20.0,Financial Services,117798.0
Germany,Master's Degree,11.0,Healthcare,73892.0
Poland,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",89955.0
Netherlands,Less than a Bachelor's,13.0,Retail and Consumer Services,96381.0
Germany,Master's Degree,30.0,Other,69608.0
France,Master's Degree,19.0,Other,112444.0
Germany,Less than a Bachelor's,1.0,Financial Services,11566.0
Spain,Bachelor's Degree,19.0,Healthcare,64254.0
Germany,Less than a Bachelor's,11.0,"Information Services, IT, Software Development, or other Technology",49261.0
Netherlands,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",42407.0
Germany,Bachelor's Degree,18.0,"Information Services, IT, Software Development, or other Technology",48190.0
Germany,Bachelor's Degree,10.0,Healthcare,74963.0
Australia,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",92545.0
France,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",27843.0
Canada,Less than a Bachelor's,0.5,"Information Services, IT, Software Development, or other Technology",11153.0
France,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",48190.0
Germany,Master's Degree,14.0,Financial Services,96381.0
Netherlands,Master's Degree,2.0,"Manufacturing, Transportation, or Supply Chain",41765.0
Spain,Bachelor's Degree,7.0,Other,55687.0
France,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",47119.0
France,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",52474.0
United Kingdom and Northern Ireland,Post Grad,15.0,Healthcare,74483.0
United States of America,Master's Degree,8.0,Other,115000.0
India,Bachelor's Degree,6.0,Financial Services,43621.0
Italy,Less than a Bachelor's,5.0,Healthcare,130000.0
France,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",72821.0
India,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",10057.0
United States of America,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",195000.0
United Kingdom and Northern Ireland,Less than a Bachelor's,6.0,"Information Services, IT, Software Development, or other Technology",98690.0
France,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",51082.0
Germany,Bachelor's Degree,14.0,"Information Services, IT, Software Development, or other Technology",57828.0
Netherlands,Master's Degree,5.0,Other,86743.0
Australia,Bachelor's Degree,5.0,Financial Services,125597.0
Germany,Less than a Bachelor's,15.0,Other,96381.0
Spain,Less than a Bachelor's,17.0,Healthcare,107090.0
Australia,Less than a Bachelor's,4.0,Higher Education,74036.0
France,Master's Degree,7.0,Retail and Consumer Services,56757.0
Poland,Bachelor's Degree,2.0,Healthcare,25792.0
France,Master's Degree,4.0,"Manufacturing, Transportation, or Supply Chain",47119.0
Italy,Master's Degree,20.0,"Information Services, IT, Software Development, or other Technology",80317.0
Italy,Master's Degree,8.0,Other,26772.0
United Kingdom and Northern Ireland,Bachelor's Degree,40.0,"Information Services, IT, Software Development, or other Technology",64552.0
Germany,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",89955.0
Netherlands,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",74963.0
India,Master's Degree,21.0,"Information Services, IT, Software Development, or other Technology",41197.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,Oil & Gas,49655.0
Poland,Master's Degree,20.0,"Information Services, IT, Software Development, or other Technology",71779.0
Germany,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",80703.0
Sweden,Master's Degree,3.0,Higher Education,46439.0
Spain,Master's Degree,3.0,"Manufacturing, Transportation, or Supply Chain",52474.0
Germany,Less than a Bachelor's,11.0,"Information Services, IT, Software Development, or other Technology",58471.0
Spain,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",44978.0
United Kingdom and Northern Ireland,Bachelor's Degree,20.0,Retail and Consumer Services,52262.0
Italy,Master's Degree,27.0,"Information Services, IT, Software Development, or other Technology",37481.0
Poland,Master's Degree,7.0,Healthcare,43067.0
Germany,Master's Degree,16.0,"Manufacturing, Transportation, or Supply Chain",59970.0
France,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",72821.0
Germany,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",58899.0
Germany,Master's Degree,4.0,Other,53545.0
Germany,Less than a Bachelor's,20.0,Wholesale,64254.0
Australia,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",99156.0
Germany,Bachelor's Degree,18.0,Financial Services,99593.0
Spain,Less than a Bachelor's,20.0,"Information Services, IT, Software Development, or other Technology",32127.0
Netherlands,Less than a Bachelor's,7.0,"Information Services, IT, Software Development, or other Technology",48190.0
France,Post Grad,13.0,"Information Services, IT, Software Development, or other Technology",91026.0
Germany,Bachelor's Degree,4.0,"Manufacturing, Transportation, or Supply Chain",55687.0
Italy,Master's Degree,2.0,"Information Services, IT, Software Development, or other Technology",24631.0
Netherlands,Master's Degree,23.0,Higher Education,85672.0
United Kingdom and Northern Ireland,Less than a Bachelor's,4.0,"Information Services, IT, Software Development, or other Technology",111724.0
Germany,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",38552.0
India,Master's Degree,14.0,"Information Services, IT, Software Development, or other Technology",39986.0
Netherlands,Post Grad,11.0,Advertising Services,80317.0
Poland,Less than a Bachelor's,2.0,Other,37325.0
France,Post Grad,38.0,"Information Services, IT, Software Development, or other Technology",53545.0
France,Master's Degree,16.0,"Information Services, IT, Software Development, or other Technology",64254.0
Germany,Bachelor's Degree,10.0,Financial Services,102806.0
Sweden,Post Grad,12.0,Higher Education,36857.0
Italy,Less than a Bachelor's,0.5,Other,24631.0
Netherlands,Bachelor's Degree,7.0,Financial Services,91026.0
United Kingdom and Northern Ireland,Master's Degree,1.0,"Information Services, IT, Software Development, or other Technology",49035.0
France,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",44978.0
United Kingdom and Northern Ireland,Bachelor's Degree,18.0,"Information Services, IT, Software Development, or other Technology",99311.0
Spain,Less than a Bachelor's,23.0,Other,69608.0
France,Post Grad,10.0,Higher Education,46049.0
United Kingdom and Northern Ireland,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",148966.0
United Kingdom and Northern Ireland,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",37490.0
United Kingdom and Northern Ireland,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",178759.0
India,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",43621.0
United Kingdom and Northern Ireland,Bachelor's Degree,14.0,"Information Services, IT, Software Development, or other Technology",80690.0
Germany,Bachelor's Degree,14.0,"Information Services, IT, Software Development, or other Technology",92097.0
France,Master's Degree,33.0,"Information Services, IT, Software Development, or other Technology",155280.0
Spain,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",44978.0
United Kingdom and Northern Ireland,Less than a Bachelor's,2.0,Other,33517.0
France,Master's Degree,5.0,"Manufacturing, Transportation, or Supply Chain",37481.0
Italy,Less than a Bachelor's,12.0,Other,66610.0
Germany,Post Grad,2.0,"Manufacturing, Transportation, or Supply Chain",107090.0
United Kingdom and Northern Ireland,Master's Degree,4.0,Retail and Consumer Services,93104.0
Poland,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",71779.0
Germany,Less than a Bachelor's,19.0,"Information Services, IT, Software Development, or other Technology",117798.0
Italy,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",35340.0
Germany,Less than a Bachelor's,3.0,"Manufacturing, Transportation, or Supply Chain",44978.0
Germany,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",69608.0
Germany,Master's Degree,13.0,Other,97312.0
Brazil,Bachelor's Degree,14.0,Financial Services,121726.0
Germany,Bachelor's Degree,11.0,Advertising Services,54616.0
Italy,Less than a Bachelor's,25.0,"Manufacturing, Transportation, or Supply Chain",77104.0
India,Bachelor's Degree,1.0,Other,18175.0
United States of America,Bachelor's Degree,33.0,"Information Services, IT, Software Development, or other Technology",140000.0
Italy,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",192761.0
France,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",128507.0
Germany,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",69608.0
Germany,Less than a Bachelor's,8.0,"Information Services, IT, Software Development, or other Technology",40694.0
Poland,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",83742.0
Italy,Master's Degree,9.0,Financial Services,139216.0
Sweden,Less than a Bachelor's,26.0,"Information Services, IT, Software Development, or other Technology",76625.0
Germany,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",53545.0
United States of America,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",290000.0
Germany,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",87813.0
France,Master's Degree,2.0,Other,17134.0
Spain,Master's Degree,6.0,Retail and Consumer Services,59970.0
Germany,Master's Degree,17.0,Higher Education,112444.0
Italy,Bachelor's Degree,20.0,"Information Services, IT, Software Development, or other Technology",64254.0
United Kingdom and Northern Ireland,Less than a Bachelor's,6.0,"Information Services, IT, Software Development, or other Technology",54621.0
Italy,Less than a Bachelor's,1.0,"Information Services, IT, Software Development, or other Technology",32127.0
Netherlands,Less than a Bachelor's,6.0,"Information Services, IT, Software Development, or other Technology",115657.0
Italy,Less than a Bachelor's,15.0,"Information Services, IT, Software Development, or other Technology",38552.0
Netherlands,Bachelor's Degree,16.0,"Information Services, IT, Software Development, or other Technology",107090.0
United Kingdom and Northern Ireland,Bachelor's Degree,18.0,Retail and Consumer Services,67035.0
United Kingdom and Northern Ireland,Bachelor's Degree,4.0,Retail and Consumer Services,63931.0
France,Less than a Bachelor's,13.0,"Information Services, IT, Software Development, or other Technology",66396.0
Netherlands,Less than a Bachelor's,1.0,Retail and Consumer Services,40694.0
United States of America,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",300000.0
Italy,Master's Degree,3.0,"Manufacturing, Transportation, or Supply Chain",27843.0
France,Master's Degree,3.0,Other,38017.0
United States of America,Less than a Bachelor's,7.0,"Manufacturing, Transportation, or Supply Chain",115000.0
Australia,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",79325.0
India,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",16964.0
United Kingdom and Northern Ireland,Less than a Bachelor's,28.0,Financial Services,93104.0
United States of America,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",103000.0
Spain,Bachelor's Degree,0.5,"Information Services, IT, Software Development, or other Technology",32127.0
France,Less than a Bachelor's,2.0,Wholesale,25701.0
United Kingdom and Northern Ireland,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",37241.0
United Kingdom and Northern Ireland,Bachelor's Degree,26.0,"Information Services, IT, Software Development, or other Technology",86897.0
Netherlands,Master's Degree,8.0,Other,68537.0
Italy,Less than a Bachelor's,2.0,"Manufacturing, Transportation, or Supply Chain",48190.0
Netherlands,Master's Degree,13.0,Insurance,92097.0
United Kingdom and Northern Ireland,Bachelor's Degree,4.0,"Manufacturing, Transportation, or Supply Chain",58966.0
Spain,Less than a Bachelor's,15.0,Higher Education,58899.0
Germany,Less than a Bachelor's,13.0,"Information Services, IT, Software Development, or other Technology",192761.0
Canada,Less than a Bachelor's,17.0,"Information Services, IT, Software Development, or other Technology",148703.0
Germany,Less than a Bachelor's,3.0,"Information Services, IT, Software Development, or other Technology",48190.0
United Kingdom and Northern Ireland,Bachelor's Degree,6.0,Other,68276.0
India,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",10905.0
India,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",30292.0
United Kingdom and Northern Ireland,Less than a Bachelor's,5.0,Insurance,40966.0
United States of America,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",200000.0
Germany,Bachelor's Degree,3.0,"Manufacturing, Transportation, or Supply Chain",74963.0
France,Post Grad,12.0,Retail and Consumer Services,53545.0
India,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",18175.0
Sweden,Bachelor's Degree,2.0,Financial Services,35382.0
Germany,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",47119.0
Germany,Master's Degree,9.0,Financial Services,74963.0
United Kingdom and Northern Ireland,Post Grad,33.0,Healthcare,93104.0
United Kingdom and Northern Ireland,Post Grad,20.0,Higher Education,49655.0
Germany,Less than a Bachelor's,13.0,Retail and Consumer Services,51403.0
Germany,Master's Degree,13.0,"Information Services, IT, Software Development, or other Technology",91026.0
United Kingdom and Northern Ireland,Bachelor's Degree,5.0,Advertising Services,55862.0
Spain,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",74963.0
Germany,Master's Degree,10.0,"Information Services, IT, Software Development, or other Technology",91026.0
United States of America,Bachelor's Degree,5.0,"Manufacturing, Transportation, or Supply Chain",74351.0
Australia,Bachelor's Degree,0.5,Other,49578.0
United States of America,Bachelor's Degree,32.0,"Information Services, IT, Software Development, or other Technology",165000.0
United Kingdom and Northern Ireland,Post Grad,23.0,"Information Services, IT, Software Development, or other Technology",99311.0
United States of America,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",190000.0
United States of America,Bachelor's Degree,7.0,Healthcare,135000.0
India,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",31916.0
Sweden,Less than a Bachelor's,15.0,"Information Services, IT, Software Development, or other Technology",73713.0
Germany,Bachelor's Degree,6.0,Retail and Consumer Services,80317.0
Sweden,Post Grad,6.0,Healthcare,50862.0
Spain,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",53545.0
Germany,Less than a Bachelor's,0.5,"Information Services, IT, Software Development, or other Technology",48190.0
Sweden,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",71870.0
Germany,Less than a Bachelor's,15.0,Healthcare,155280.0
France,Bachelor's Degree,3.0,Other,49261.0
United Kingdom and Northern Ireland,Master's Degree,13.0,Healthcare,76966.0
India,Bachelor's Degree,8.0,Financial Services,21447.0
India,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",16964.0
Germany,Master's Degree,22.0,"Information Services, IT, Software Development, or other Technology",99593.0
France,Post Grad,20.0,Other,69608.0
United Kingdom and Northern Ireland,Master's Degree,28.0,"Information Services, IT, Software Development, or other Technology",124138.0
Sweden,Bachelor's Degree,12.0,"Manufacturing, Transportation, or Supply Chain",69106.0
Germany,Master's Degree,10.0,"Information Services, IT, Software Development, or other Technology",107090.0
India,Bachelor's Degree,1.0,"Manufacturing, Transportation, or Supply Chain",16479.0
Canada,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",110412.0
Netherlands,Post Grad,35.0,Retail and Consumer Services,80317.0
United States of America,Bachelor's Degree,15.0,Advertising Services,210000.0
United States of America,Master's Degree,7.0,Insurance,185000.0
Germany,Bachelor's Degree,6.0,Retail and Consumer Services,68537.0
United Kingdom and Northern Ireland,Less than a Bachelor's,19.0,Other,126000.0
Canada,Master's Degree,15.0,Higher Education,66916.0
United Kingdom and Northern Ireland,Master's Degree,4.0,Other,59586.0
France,Master's Degree,1.0,"Information Services, IT, Software Development, or other Technology",37481.0
Brazil,Less than a Bachelor's,8.0,Higher Education,26780.0
United Kingdom and Northern Ireland,Bachelor's Degree,4.0,"Manufacturing, Transportation, or Supply Chain",96828.0
United States of America,Less than a Bachelor's,10.0,"Information Services, IT, Software Development, or other Technology",92000.0
United States of America,Bachelor's Degree,20.0,"Manufacturing, Transportation, or Supply Chain",180000.0
United States of America,Bachelor's Degree,6.0,Healthcare,100000.0
United States of America,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",155000.0
Brazil,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",40575.0
Canada,Bachelor's Degree,17.0,"Information Services, IT, Software Development, or other Technology",185879.0
Germany,Master's Degree,4.0,Wholesale,59970.0
France,Master's Degree,4.0,Insurance,53545.0
India,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",36351.0
Brazil,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",24345.0
Brazil,Master's Degree,1.0,Financial Services,10550.0
Spain,Master's Degree,2.0,"Information Services, IT, Software Development, or other Technology",42836.0
Germany,Master's Degree,23.0,"Information Services, IT, Software Development, or other Technology",99593.0
France,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",17091.0
India,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",27869.0
India,Bachelor's Degree,3.0,Wholesale,12723.0
United States of America,Master's Degree,18.0,Financial Services,176800.0
Canada,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",63199.0
United States of America,Bachelor's Degree,24.0,"Information Services, IT, Software Development, or other Technology",153000.0
Spain,Master's Degree,16.0,Insurance,44978.0
United States of America,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",130000.0
Netherlands,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",55687.0
United States of America,Master's Degree,33.0,"Manufacturing, Transportation, or Supply Chain",150000.0
Italy,Bachelor's Degree,3.0,Advertising Services,27843.0
United States of America,Bachelor's Degree,20.0,Retail and Consumer Services,150000.0
India,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",15752.0
Sweden,Bachelor's Degree,5.0,Other,51507.0
Netherlands,Master's Degree,7.0,Retail and Consumer Services,80317.0
Germany,Master's Degree,7.0,Financial Services,80317.0
United Kingdom and Northern Ireland,Bachelor's Degree,11.0,Financial Services,85035.0
Italy,Bachelor's Degree,14.0,Higher Education,46798.0
Germany,Post Grad,0.5,Other,80317.0
Poland,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",37325.0
Netherlands,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",117798.0
Netherlands,Master's Degree,2.0,Healthcare,48190.0
Brazil,Bachelor's Degree,11.0,Other,28403.0
Germany,Less than a Bachelor's,17.0,Advertising Services,48190.0
United States of America,Bachelor's Degree,8.0,Healthcare,176000.0
Italy,Master's Degree,3.0,Advertising Services,32127.0
Canada,Less than a Bachelor's,40.0,Healthcare,89222.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,"Manufacturing, Transportation, or Supply Chain",34759.0
United Kingdom and Northern Ireland,Less than a Bachelor's,15.0,Higher Education,130345.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,Retail and Consumer Services,86897.0
India,Bachelor's Degree,6.0,Other,31504.0
France,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",35340.0
Germany,Master's Degree,11.0,"Manufacturing, Transportation, or Supply Chain",91026.0
Sweden,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",46071.0
United States of America,Bachelor's Degree,10.0,Other,140000.0
France,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",64254.0
Poland,Master's Degree,3.0,Financial Services,47852.0
United Kingdom and Northern Ireland,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",49655.0
Spain,Less than a Bachelor's,17.0,"Information Services, IT, Software Development, or other Technology",54616.0
Germany,Less than a Bachelor's,3.0,"Manufacturing, Transportation, or Supply Chain",69608.0
Poland,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",62208.0
Brazil,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",34000.0
France,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",48190.0
United Kingdom and Northern Ireland,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",93104.0
Brazil,Bachelor's Degree,3.0,Other,14201.0
Germany,Bachelor's Degree,16.0,"Information Services, IT, Software Development, or other Technology",93168.0
Brazil,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",12684.0
United Kingdom and Northern Ireland,Less than a Bachelor's,8.0,"Information Services, IT, Software Development, or other Technology",42207.0
United States of America,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",170000.0
